Nama,Tanggal_Lahir,Tinggi_Badan,Username,Password,Role,Saldo
Willy Wangky,30/06/1971,170,wangkypro,coklatenakno1,Pemain_Reguler,100000
Andro,30/06/2001,175,Andro,iniandro,Admin,0
Dori,31/12/1999,165,doridoriunch,ikannemo,Pemain_Reguler,30000
Doki,24/11/2001,190,dokdok,dikotil,Admin,0
Barabara,27/03/2006,150,barabere,berebere,Pemain_Reguler,0
Jaiden,13/06/1990,160,animation,hehehehe,Pemain_Reguler,100000
sapi,01/01/2000,182,panggang,chitato,Gold,552000
cheetah,20/04/1969,164,kejubakar,cheetos,Pemain_Reguler,40000
panasonic,13/12/2011,135,panas,dingin,Pemain_Reguler,25000
kompi,31/01/2004,169,lepi,yupi,Pemain_Reguler,0
Budi,30/02/1999,178,Budi,1234,Pemain_Reguler,25000
Yeposo,21/03/2001,178,you,beautiful,Pemain_Reguler,0
virgil,23/05/1990,189,vandijk,ipul,Gold,200000
